Employe;Agence;Client;TypeContrat;TypeMateriel;Technicien;Intervention;Contratdemaintenance;Materiel;Controler
Matricule ;NumeroAgence ;NumeroClient;RefTypeContrat ;ReferenceInterne ;Matricule;NumeroIntervent;NumerodeContrat;NumerodeSerie;NumeroIntervent
NomEmploye;Nomagence ;RaisonSociale ;DelaiIntervention ;LibelleTypemateriel;TelephoneMobile;DateVisite;DateSignature;Datedevente;NumerodeSerie
PrenomEmploye;TelephoneAgence ;Siren;TauxApplicable ;;Qualification;HeureVisite;DateEcheance;DateInstallation ;TempsPasse 
AdresseEmploye ;Adresseagence;CodeApe ;;;DateObtention;Matricule;NumeroClient ;PrixdeVente;Commentaire
DateEmbauche;;Adresse;;;NumeroAgence;NumeroClient;RefTypeContrat ;Emplacement;
;;TelephoneClient ;;;;;;ReferenceInterne;
;;Email ;;;;;;NumerodeContrat;
;;DureeDeplacement ;;;;;;NumeroClient;
;;DistanceKM ;;;;;;;
;;;;;;;;;
